Id,Response,S32,S33,S34,cnt,Magic
1250,1,1,0,0,1,1
3220,0,1,0,1,1,1
5018,1,1,0,0,1,1
12017,0,1,0,0,1,1
21212,1,1,0,0,1,1
23089,0,1,0,0,1,1
24387,1,1,0,1,1,1
27146,1,1,0,0,1,1
28188,1,1,0,0,1,1
30381,0,1,0,1,1,1
31344,1,1,0,1,1,1
37427,1,1,0,1,1,1
38011,1,1,0,0,1,1
40280,1,1,0,0,1,1
45355,1,1,0,0,1,1
49474,1,1,0,1,1,1
57910,1,1,0,0,1,1
60131,0,1,0,0,1,1
60134,0,1,0,0,1,1
63795,0,1,0,1,1,1
63796,0,1,0,1,1,1
75513,0,1,0,0,1,1
76237,0,1,0,1,1,1
76238,0,1,0,1,1,1
78964,0,1,0,0,1,1
88286,1,1,0,0,1,1
95470,0,1,0,0,1,1
99886,1,1,0,1,1,1
105010,1,1,0,0,1,1
105011,1,1,0,0,1,1
106403,1,1,0,0,1,1
122750,1,1,0,0,1,1
141659,1,1,0,0,1,1
146715,1,1,0,0,1,1
159310,1,1,0,0,1,1
160047,1,1,0,0,1,1
163106,1,1,0,0,1,1
163588,1,1,0,0,1,1
168650,0,1,0,0,1,1
168702,0,1,0,0,1,1
171000,1,1,0,0,1,1
174533,1,1,0,0,1,1
177070,0,1,0,0,1,1
177820,0,1,0,1,1,1
184531,1,1,0,0,1,1
195338,1,1,0,0,1,1
199771,0,1,0,1,1,1
199772,0,1,0,1,1,1
199843,0,1,0,0,1,1
201999,1,1,0,0,1,1
203916,0,1,0,0,1,1
203917,0,1,0,0,1,1
206017,1,1,0,0,1,1
206083,1,1,0,0,1,1
207184,0,1,0,0,1,1
207186,0,1,0,0,1,1
214259,0,1,0,0,1,1
221600,0,1,0,0,1,1
224586,1,1,0,0,1,1
236436,0,1,0,0,1,1
263592,0,1,0,0,1,1
266492,1,1,0,0,1,1
268166,1,1,0,0,1,1
290791,0,1,0,0,1,1
291545,1,1,0,0,1,1
302459,0,1,0,0,1,1
302460,0,1,0,0,1,1
305987,1,1,0,0,1,1
306583,1,1,0,0,1,1
321240,0,1,0,0,1,1
323959,1,1,0,0,1,1
324735,1,1,0,0,1,1
327784,1,1,0,0,1,1
327785,0,1,0,0,1,1
332426,1,1,0,1,1,1
359349,0,1,0,0,1,1
359350,0,1,0,0,1,1
362970,1,1,0,1,1,1
369988,1,1,0,1,1,1
374439,1,1,0,0,1,1
392208,1,1,0,0,1,1
396596,0,1,0,0,1,1
401587,1,1,0,0,1,1
403405,0,1,0,0,1,1
403406,0,1,0,0,1,1
410904,0,1,0,0,1,1
423973,0,1,0,1,1,1
425252,1,1,0,0,1,1
434783,1,1,0,0,1,1
435639,1,1,0,0,1,1
435640,1,1,0,0,1,1
438316,1,1,0,0,1,1
458318,0,1,0,0,1,1
462361,0,1,0,0,1,1
465986,1,1,0,0,1,1
479244,1,1,0,0,1,1
486358,1,1,0,0,1,1
489270,1,1,0,0,1,1
491965,1,1,0,0,1,1
491966,1,1,0,0,1,1
493515,1,1,0,0,1,1
493855,1,1,0,0,1,1
505341,1,1,0,0,1,1
515285,1,1,0,0,1,1
530823,1,1,0,1,1,1
538083,1,1,0,0,1,1
544554,1,1,0,0,1,1
548123,1,1,0,1,1,1
574836,1,1,0,0,1,1
574837,0,1,0,0,1,1
600044,1,1,0,0,1,1
602276,0,1,0,0,1,1
608552,1,1,0,0,1,1
617572,1,1,0,0,1,1
620299,0,1,0,0,1,1
639046,1,1,0,0,1,1
639092,0,1,0,0,1,1
646745,1,1,0,0,1,1
658509,1,1,0,0,1,1
663324,1,1,0,0,1,1
665750,0,1,0,1,1,1
673742,0,1,0,0,1,1
687175,1,1,0,0,1,1
698482,1,1,0,0,1,1
701676,1,1,0,0,1,1
704547,1,1,0,0,1,1
716091,0,1,0,1,1,1
716889,1,1,0,0,1,1
741899,1,1,0,0,1,1
745944,0,1,0,0,1,1
751699,1,1,0,0,1,1
755040,1,1,0,0,1,1
761021,0,1,0,0,1,1
762363,1,1,0,0,1,1
763853,0,1,0,0,1,1
764139,1,1,0,0,1,1
766556,1,1,0,0,1,1
775727,1,1,0,0,1,1
790973,1,1,0,0,1,1
795052,1,1,0,0,1,1
806161,0,1,0,0,1,1
807388,1,1,0,0,1,1
816520,0,1,0,1,1,1
820920,1,1,0,0,1,1
832032,0,1,0,0,1,1
835059,0,1,0,0,1,1
835910,0,1,0,0,1,1
835911,0,1,0,0,1,1
848096,1,1,0,0,1,1
849899,0,1,0,0,1,1
853069,0,1,0,0,1,1
855478,1,1,0,0,1,1
860078,0,1,0,0,1,1
861176,1,1,0,0,1,1
871697,1,1,0,0,1,1
871698,0,1,0,0,1,1
885657,0,1,0,0,1,1
909159,1,1,0,1,1,1
917349,1,1,0,0,1,1
920263,0,1,0,0,1,1
934197,1,1,0,1,1,1
942847,1,1,0,0,1,1
958788,0,1,0,0,1,1
966663,0,1,0,0,1,1
966868,1,1,0,0,1,1
991960,1,1,0,1,1,1
1002321,1,1,0,0,1,1
1009798,1,1,0,0,1,1
1022970,1,1,0,0,1,1
1034343,0,1,0,1,1,1
1044597,1,1,0,0,1,1
1046086,1,1,0,0,1,1
1056279,0,1,0,0,1,1
1056770,1,1,0,0,1,1
1061684,1,1,0,1,1,1
1080099,0,1,0,0,1,1
1080100,0,1,0,0,1,1
1083087,1,1,0,0,1,1
1090131,0,1,0,0,1,1
1090406,0,1,0,0,1,1
1093018,1,1,0,0,1,1
1095431,1,1,0,1,1,1
1098264,1,1,0,1,1,1
1098365,1,1,0,0,1,1
1106572,1,1,0,0,1,1
1111745,1,1,0,0,1,1
1113040,0,1,0,0,1,1
1115902,1,1,0,0,1,1
1130200,0,1,0,0,1,1
1136745,1,1,0,1,1,1
1150803,1,1,0,0,1,1
1153340,0,1,0,0,1,1
1156245,0,1,0,0,1,1
1158392,1,1,0,0,1,1
1165991,1,1,0,1,1,1
1167984,0,1,0,1,1,1
1169430,1,1,0,0,1,1
1174009,1,1,0,1,1,1
1185509,0,1,0,0,1,1
1185785,1,1,0,1,1,1
1212547,1,1,0,0,1,1
1223648,1,1,0,0,1,1
1229270,1,1,0,0,1,1
1234270,1,1,0,1,1,1
1237049,0,1,0,0,1,1
1247622,0,1,0,0,1,1
1248513,0,1,0,1,1,1
1256572,1,1,0,0,1,1
1262593,1,1,0,1,1,1
1263382,0,1,0,0,1,1
1267659,1,1,0,1,1,1
1298707,0,1,0,0,1,1
1301024,1,1,0,0,1,1
1303477,0,1,0,0,1,1
1308997,0,1,0,0,1,1
1312556,0,1,0,0,1,1
1320893,1,1,0,1,1,1
1323983,0,1,0,0,1,1
1340091,0,1,0,0,1,1
1354347,1,1,0,0,1,1
1359565,1,1,0,0,1,1
1383273,1,1,0,0,1,1
1390735,1,1,0,1,1,1
1393581,1,1,0,1,1,1
1397480,1,1,0,0,1,1
1399231,1,1,0,1,1,1
1402461,0,1,0,1,1,1
1422457,0,1,0,1,1,1
1434371,1,1,0,0,1,1
1478863,1,1,0,0,1,1
1479533,1,1,0,0,1,1
1494497,0,1,0,0,1,1
1512307,0,1,0,0,1,1
1516279,1,1,0,0,1,1
1518986,1,1,0,0,1,1
1520996,0,1,0,0,1,1
1524633,0,1,0,0,1,1
1526212,0,1,0,0,1,1
1531108,0,1,0,0,1,1
1535328,1,1,0,0,1,1
1541563,1,1,0,0,1,1
1542060,1,1,0,1,1,1
1544074,0,1,0,1,1,1
1551181,1,1,0,0,1,1
1563571,0,1,0,0,1,1
1566449,0,1,0,0,1,1
1619808,1,1,0,0,1,1
1620744,1,1,0,0,1,1
1623603,1,1,0,0,1,1
1630237,1,1,0,0,1,1
1653446,1,1,0,0,1,1
1659110,1,1,0,1,1,1
1667717,0,1,0,0,1,1
1689069,1,1,0,1,1,1
1689187,1,1,0,0,1,1
1698401,1,1,0,0,1,1
1699728,0,1,0,0,1,1
1715074,0,1,0,0,1,1
1716382,0,1,0,0,1,1
1717863,1,1,0,0,1,1
1723743,0,1,0,0,1,1
1725875,0,1,0,0,1,1
1725969,1,1,0,1,1,1
1758025,1,1,0,1,1,1
1758026,1,1,0,1,1,1
1768877,1,1,0,0,1,1
1769233,1,1,0,0,1,1
1771683,1,1,0,0,1,1
1776817,1,1,0,0,1,1
1807051,1,1,0,0,1,1
1812504,1,1,0,0,1,1
1833334,1,1,0,0,1,1
1847662,0,1,0,0,1,1
1852174,1,1,0,0,1,1
1864754,1,1,0,0,1,1
1877256,1,1,0,1,1,1
1898618,1,1,0,0,1,1
1905515,1,1,0,0,1,1
1906298,0,1,0,0,1,1
1914508,1,1,0,0,1,1
1915979,1,1,0,0,1,1
1916889,0,1,0,0,1,1
1928833,0,1,0,0,1,1
1939888,0,1,0,0,1,1
1939889,0,1,0,0,1,1
1941192,0,1,0,1,1,1
1944161,0,1,0,0,1,1
1949880,1,1,0,0,1,1
1974242,0,1,0,0,1,1
1974608,1,1,0,0,1,1
1978464,1,1,0,0,1,1
1979018,0,1,0,0,1,1
1980627,1,1,0,0,1,1
1981268,1,1,0,0,1,1
1985063,1,1,0,1,1,1
1987684,0,1,0,0,1,1
1989092,1,1,0,0,1,1
1991278,1,1,0,0,1,1
2001218,1,1,0,0,1,1
2015024,0,1,0,0,1,1
2022373,1,1,0,0,1,1
2034438,0,1,0,0,1,1
2034872,0,1,0,0,1,1
2037591,0,1,0,0,1,1
2043179,1,1,0,1,1,1
2043791,0,1,0,0,1,1
2049462,1,1,0,0,1,1
2053565,1,1,0,0,1,1
2054639,1,1,0,0,1,1
2061321,0,1,0,0,1,1
2061743,1,1,0,0,1,1
2065293,1,1,0,1,1,1
2067084,1,1,0,1,1,1
2071651,0,1,0,1,1,1
2071652,0,1,0,1,1,1
2071653,0,1,0,1,1,1
2071654,0,1,0,1,1,1
2083644,1,1,0,0,1,1
2083815,0,1,0,0,1,1
2083816,0,1,0,0,1,1
2098334,1,1,0,0,1,1
2101499,0,1,0,1,1,1
2105616,0,1,0,0,1,1
2116510,0,1,0,0,1,1
2127174,0,1,0,0,1,1
2133880,0,1,0,0,1,1
2139206,0,1,0,1,1,1
2139967,0,1,0,1,1,1
2144513,1,1,0,0,1,1
2145106,1,1,0,0,1,1
2148428,1,1,0,0,1,1
2151910,0,1,0,0,1,1
2163193,0,1,0,0,1,1
2167241,1,1,0,0,1,1
2180522,0,1,0,1,1,1
2181249,1,1,0,1,1,1
2186074,0,1,0,0,1,1
2189821,0,1,0,0,1,1
2207758,1,1,0,0,1,1
2213817,0,1,0,0,1,1
2238015,1,1,0,0,1,1
2240880,1,1,0,0,1,1
2247342,1,1,0,0,1,1
2253207,0,1,0,0,1,1
2260767,1,1,0,1,1,1
2261984,1,1,0,1,1,1
2266133,1,1,0,0,1,1
2267814,1,1,0,0,1,1
2270221,1,1,0,0,1,1
2277020,1,1,0,0,1,1
2277021,0,1,0,0,1,1
2282682,0,1,0,1,1,1
2284023,0,1,0,0,1,1
2293490,1,1,0,0,1,1
2306243,0,1,0,0,1,1
2306244,0,1,0,0,1,1
2310155,1,1,0,0,1,1
2311006,1,1,0,0,1,1
2311316,0,1,0,1,1,1
2311317,0,1,0,1,1,1
2311944,1,1,0,1,1,1
2315101,0,1,0,0,1,1
2324103,0,1,0,0,1,1
2325957,1,1,0,1,1,1
2333664,0,1,0,0,1,1
2336839,1,1,0,0,1,1
2339721,0,1,0,1,1,1
2345710,0,1,0,0,1,1
2351329,0,1,0,0,1,1
2351330,0,1,0,0,1,1
2352203,1,1,0,1,1,1
2355356,1,1,0,0,1,1
2356133,1,1,0,0,1,1
2362586,1,1,0,0,1,1
2364846,0,1,0,1,1,1
2364868,0,1,0,0,1,1
2364900,0,1,0,0,1,1
2366042,0,1,0,0,1,1
